column,selected,seen,scheme_name,label_key,value,concept_uri,pref_label,broader_uri,depth,n_children,is_leaf
k_health-outcomes_sub_b_sub_h|6,0,0,Health - Outcomes,k_health-outcomes_sub_b_sub_h,6,https://vocab.destiny-evidence.org/health-outcomes/DSNY000453,Pruritus,https://vocab.destiny-evidence.org/health-outcomes/DSNY000444,3,0,True
k_health-outcomes_sub_sub_a|2,0,0,Health - Outcomes,k_health-outcomes_sub_sub_a,2,https://vocab.destiny-evidence.org/health-outcomes/DSNY000302,Diabetes and kidney diseases mortality,https://vocab.destiny-evidence.org/health-outcomes/DSNY000298,3,0,True
k_health-outcomes_sub_c_sub_a|9,0,0,Health - Outcomes,k_health-outcomes_sub_c_sub_a,9,https://vocab.destiny-evidence.org/health-outcomes/DSNY000480,Foreign body,https://vocab.destiny-evidence.org/health-outcomes/DSNY000472,3,0,True
k_health-outcomes_sub_b_sub_h|7,0,0,Health - Outcomes,k_health-outcomes_sub_b_sub_h,7,https://vocab.destiny-evidence.org/health-outcomes/DSNY000446,Psoriasis,https://vocab.destiny-evidence.org/health-outcomes/DSNY000444,3,0,True
k_health-outcomes_sub_b_sub_h|8,0,0,Health - Outcomes,k_health-outcomes_sub_b_sub_h,8,https://vocab.destiny-evidence.org/health-outcomes/DSNY000448,Scabies,https://vocab.destiny-evidence.org/health-outcomes/DSNY000444,3,0,True
k_health-outcomes_sub_b_sub_h|9,0,0,Health - Outcomes,k_health-outcomes_sub_b_sub_h,9,https://vocab.destiny-evidence.org/health-outcomes/DSNY000454,Urticaria,https://vocab.destiny-evidence.org/health-outcomes/DSNY000444,3,0,True
k_health-outcomes_sub_b_sub_h|10,0,0,Health - Outcomes,k_health-outcomes_sub_b_sub_h,10,https://vocab.destiny-evidence.org/health-outcomes/DSNY000450,Viral skin diseases,https://vocab.destiny-evidence.org/health-outcomes/DSNY000444,3,0,True
k_health-outcomes_sub_b_sub_h|11,0,0,Health - Outcomes,k_health-outcomes_sub_b_sub_h,11,https://vocab.destiny-evidence.org/health-outcomes/DSNY000456,Z_Other skin and subcutaneous diseases,https://vocab.destiny-evidence.org/health-outcomes/DSNY000444,3,0,True
k_health-outcomes_sub_b_sub_i|0,0,0,Health - Outcomes,k_health-outcomes_sub_b_sub_i,0,https://vocab.destiny-evidence.org/health-outcomes/DSNY000436,Alcohol use disorders,https://vocab.destiny-evidence.org/health-outcomes/DSNY000435,3,0,True
k_health-outcomes_sub_b_sub_i|1,0,0,Health - Outcomes,k_health-outcomes_sub_b_sub_i,1,https://vocab.destiny-evidence.org/health-outcomes/DSNY000437,Drug use disorders,https://vocab.destiny-evidence.org/health-outcomes/DSNY000435,3,0,True
k_health-outcomes_sub_b_sub_i|2,0,0,Health - Outcomes,k_health-outcomes_sub_b_sub_i,2,https://vocab.destiny-evidence.org/health-outcomes/DSNY000624,Nicotine dependence,https://vocab.destiny-evidence.org/health-outcomes/DSNY000435,3,0,True
k_health-outcomes_sub_b_sub_j|0,0,1,Health - Outcomes,k_health-outcomes_sub_b_sub_j,0,https://vocab.destiny-evidence.org/health-outcomes/DSNY000463,Congenital birth defects,https://vocab.destiny-evidence.org/health-outcomes/DSNY000462,3,0,True
k_health-outcomes_sub_b_sub_j|1,0,1,Health - Outcomes,k_health-outcomes_sub_b_sub_j,1,https://vocab.destiny-evidence.org/health-outcomes/DSNY000467,"Endocrine, metabolic, blood, and immune disorders",https://vocab.destiny-evidence.org/health-outcomes/DSNY000462,3,0,True
k_health-outcomes_sub_b_sub_j|2,0,1,Health - Outcomes,k_health-outcomes_sub_b_sub_j,2,https://vocab.destiny-evidence.org/health-outcomes/DSNY000465,Gynecological diseases,https://vocab.destiny-evidence.org/health-outcomes/DSNY000462,3,0,True
k_health-outcomes_sub_b_sub_j|3,0,1,Health - Outcomes,k_health-outcomes_sub_b_sub_j,3,https://vocab.destiny-evidence.org/health-outcomes/DSNY000466,Hemoglobinopathies and hemolytic anemias,https://vocab.destiny-evidence.org/health-outcomes/DSNY000462,3,0,True
